QUESTIONNAIRE FINAL,,,,,,,,,,,,
,,,,,,,Questionnaire FINAL,,,,,
N,Session ,SEXE,Naissance,Experience ,Domaine,Pedagogie,Q1,Q2,Q3,Q4,Q5,Q6
S1,2012-novembre,Homme,1978,SXP,,Passive,FAUX,FAUX,juste,FAUX,FAUX,FAUX
S2,2012-novembre,Femme,1984,XPM3,Pro,Passive,FAUX,FAUX,juste,FAUX ,FAUX ,FAUX
S3,2012-novembre,Femme,1991,SXP,,Passive,FAUX,juste,juste,juste,JUSTE,FAUX
S4,2012-novembre,Femme,1990,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,JUSTE,FAUX
S5,2012-novembre,Homme,1990,SXP,,Passive,FAUX,juste,FAUX,juste,JUSTE,FAUX
S6,2012-novembre,Homme,1955,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,FAUX ,FAUX
S7,2012-novembre,Homme,1989,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,JUSTE,FAUX
S8,2012-novembre,Femme,1987,SXP,,Passive,juste,juste,juste,FAUX ,FAUX ,FAUX
S9,2012-novembre,Femme,1980,SXP,,Passive,FAUX,FAUX,juste,juste,JUSTE,FAUX
S10,2012-novembre,Homme,1988,SXP,,Passive,juste,FAUX,FAUX,FAUX ,JUSTE,FAUX
S11,2012-novembre,Homme,1982,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,JUSTE,FAUX
S12,2012-novembre,Femme,1982,SXP,,Active,FAUX,juste,NSP,NSP,JUSTE,FAUX
S13,2012-novembre,Femme,1964,SXP,,Active,juste,FAUX,juste,juste,JUSTE,JUSTE
S14,2012-novembre,Homme,1966,XPP3,SPV,Active,juste,FAUX,juste,juste,JUSTE,FAUX
S15,2012-novembre,Femme,1982,XPM3,ASSOC,Active,juste,FAUX,juste,juste,FAUX ,FAUX
S16,2012-novembre,Homme,1989,SXP,,Active,FAUX,NSP,juste,FAUX ,NSP,FAUX
S17,2012-novembre,Homme,1987,XPM3,SPV,Active,juste,FAUX,FAUX,juste,JUSTE,FAUX
S18,2012-novembre,Femme,1961,SXP,,Active,FAUX,juste,FAUX,FAUX ,JUSTE,FAUX
S19,2012-novembre,Homme,1986,SXP,,Active,juste,juste,juste,juste,JUSTE,JUSTE
S20,2012-novembre,Femme,1989,SXP,,Active,juste,FAUX,juste,juste,FAUX ,FAUX
S21,2012-novembre,Homme,1988,XPP3,Pro,Active,FAUX,juste,FAUX,FAUX ,JUSTE,JUSTE
S22,2012-novembre,Homme,1986,SXP,,Active,FAUX,FAUX,juste,FAUX ,FAUX ,FAUX
S23,2013-janvier,Homme,1990,SXP,,Passive,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S24,2013-janvier,Femme,1980,XPP3,SPV,Passive,juste,FAUX,juste,FAUX ,FAUX ,JUSTE
S25,2013-janvier,Femme,1980,SXP,,Passive,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S26,2013-janvier,Homme,1990,SXP,,Passive,juste,juste,FAUX,FAUX ,FAUX ,JUSTE
S27,2013-janvier,Homme,1989,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,FAUX ,JUSTE
S28,2013-janvier,Homme,1983,SXP,,Passive,juste,juste,FAUX,juste,FAUX ,FAUX
S29,2013-janvier,Homme,1989,SXP,,Passive,juste,FAUX,FAUX,FAUX ,JUSTE,JUSTE
S30,2013-janvier,Homme,1979,SXP,,Passive,juste,juste,FAUX,FAUX ,JUSTE,JUSTE
S31,2013-janvier,Homme,1977,SXP,,Passive,juste,FAUX,FAUX,juste,FAUX ,FAUX
S32,2013-janvier,Femme,1985,SXP,,Active,juste,juste,juste,juste,FAUX ,JUSTE
S33,2013-janvier,Homme,1974,SXP,,Active,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S34,2013-janvier,Homme,1964,SXP,,Active,FAUX,FAUX,juste,FAUX ,JUSTE,JUSTE
S35,2013-janvier,Homme,1972,SXP,,Active,juste,FAUX,juste,juste,JUSTE,FAUX
S36,2013-janvier,Femme,1987,SXP,,Active,juste,juste,FAUX,juste,FAUX ,JUSTE
S37,2013-janvier,Homme,1973,SXP,,Active,FAUX,FAUX,FAUX,FAUX ,JUSTE,FAUX
S38,2013-janvier,Homme,1987,SXP,,Active,juste,juste,juste,juste,FAUX ,JUSTE
S39,2013-janvier,Homme,1966,XPP3,Pro,Active,juste,juste,juste,FAUX ,FAUX ,FAUX
S40,2013-fevrier,Homme,1989,XPP3,ASSOC,Passive,juste,FAUX,juste,juste,JUSTE,JUSTE
S41,2013-fevrier,Homme,1987,XPM3,Pro,Passive,juste,NSP,FAUX,juste,JUSTE,FAUX
S42,2013-fevrier,Homme,1985,XPP3,SPV,Passive,FAUX,juste,juste,juste,FAUX ,FAUX
S43,2013-fevrier,Homme,1990,SXP,,Passive,juste,FAUX,FAUX,juste,FAUX ,JUSTE
S44,2013-fevrier,Homme,1982,SXP,,Passive,juste,FAUX,FAUX,juste,JUSTE,JUSTE
S45,2013-fevrier,Femme,1973,SXP,,Passive,FAUX,FAUX,juste,FAUX ,JUSTE,FAUX
S46,2013-fevrier,Homme,1977,SXP,,Passive,FAUX,FAUX,FAUX,juste,JUSTE,FAUX
S47,2013-fevrier,Homme,1966,SXP,,Passive,FAUX,FAUX,juste,FAUX ,FAUX ,FAUX
S48,2013-fevrier,Homme,1989,SXP,,Passive,juste,FAUX,juste,juste,FAUX ,FAUX
S49,2013-fevrier,Homme,1952,SXP,,Passive,FAUX,FAUX,FAUX,FAUX ,JUSTE,JUSTE
S50,2013-fevrier,Homme,1987,SXP,,Passive,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S51,2013-fevrier,Homme,1981,SXP,,Active,juste,juste,juste,juste,JUSTE,FAUX
S52,2013-fevrier,Femme,1992,XPP3,ASSOC,Active,juste,juste,FAUX,juste,JUSTE,FAUX
S53,2013-fevrier,Homme,1988,XPP3,SPV,Active,juste,juste,juste,juste,JUSTE,JUSTE
S54,2013-fevrier,Homme,1976,SXP,,Active,juste,FAUX,juste,juste,JUSTE,FAUX
S55,2013-fevrier,Homme,1957,SXP,,Active,juste,FAUX,FAUX,juste,JUSTE,FAUX
S56,2013-fevrier,Homme,1968,SXP,,Active,juste,juste,juste,FAUX ,JUSTE,JUSTE
S57,2013-fevrier,Homme,1981,XPP3,Pro,Active,juste,juste,juste,juste,FAUX ,JUSTE
S58,2013-fevrier,Femme,1967,SXP,,Active,juste,juste,juste,juste,JUSTE,JUSTE
S59,2013-fevrier,Homme,1991,SXP,,Active,juste,juste,FAUX,juste,JUSTE,FAUX
S60,2013-avril,Homme,1983,SXP,,Passive,juste,FAUX,juste,FAUX ,FAUX ,JUSTE
S61,2013-avril,Homme,1985,SXP,,Passive,juste,juste,juste,FAUX ,JUSTE,FAUX
S62,2013-avril,Femme,1990,XPP3,SPV,Passive,FAUX,FAUX,juste,juste,JUSTE,FAUX
S63,2013-avril,Femme,1991,SXP,,Passive,juste,juste,juste,FAUX ,FAUX ,JUSTE
S64,2013-avril,Homme,1989,XPM3,Pro,Passive,FAUX,juste,juste,juste,FAUX ,FAUX
S65,2013-avril,Homme,1990,SXP,,Passive,juste,juste,FAUX,FAUX ,JUSTE,JUSTE
S66,2013-avril,Homme,1982,SXP,,Passive,FAUX,FAUX,juste,juste,FAUX ,FAUX
S67,2013-avril,Homme,1983,SXP,,Passive,juste,juste,juste,juste,JUSTE,JUSTE
S68,2013-avril,Homme,1958,SXP,,Passive,juste,FAUX,FAUX,FAUX ,FAUX ,JUSTE
S69,2013-avril,Femme,1970,XPM3,Pro,Passive,FAUX,juste,juste,FAUX ,JUSTE,FAUX
S70,2013-avril,Homme,1976,SXP,,Active,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S71,2013-avril,Femme,1983,SXP,,Active,FAUX,FAUX,FAUX,juste,FAUX ,FAUX
S72,2013-avril,Femme,1983,XPM3,Pro,Active,FAUX,juste,juste,juste,FAUX ,FAUX
S73,2013-avril,Femme,1990,XPM3,Pro,Active,juste,juste,juste,juste,FAUX ,FAUX
S74,2013-avril,Femme,1990,SXP,,Active,juste,FAUX,juste,FAUX ,JUSTE,FAUX
S75,2013-avril,Homme,1990,SXP,,Active,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S76,2013-avril,Homme,1990,XPM3,Pro,Active,juste,juste,FAUX,juste,FAUX ,JUSTE
S77,2013-avril,Homme,1985,XPM3,Pro,Active,juste,juste,FAUX,FAUX ,FAUX ,FAUX
S78,2013-avril,Homme,1989,XPM3,Pro,Active,juste,FAUX,juste,juste,JUSTE,JUSTE
S79,2013-avril,Homme,1964,SXP,,Active,juste,juste,FAUX,juste,JUSTE,FAUX
S80,2013-avril,Homme,1974,SXP,,Active,FAUX,juste,juste,FAUX ,JUSTE,FAUX
S81,2013-juin,Homme,1987,SXP,,Active,juste,juste,juste,juste,JUSTE,JUSTE
S82,2013-juin,Homme,1975,SXP,,Active,juste,FAUX,juste,juste,JUSTE,FAUX
S83,2013-juin,Homme,1983,SXP,,Active,juste,FAUX,juste,juste,JUSTE,FAUX
S84,2013-juin,Femme,1960,SXP,,Active,juste,juste,FAUX,juste,JUSTE,JUSTE
S85,2013-juin,Femme,1970,SXP,,Active,juste,juste,juste,juste,FAUX ,FAUX
S86,2013-juin,Homme,1982,SXP,,Active,juste,juste,juste,juste,FAUX ,JUSTE
S87,2013-juin,Homme,1990,SXP,,Active,juste,FAUX,juste,juste,JUSTE,JUSTE
S88,2013-juin,Homme,1975,SXP,,Active,juste,juste,juste,juste,JUSTE,JUSTE
S89,2013-juin,Homme,1985,SXP,,Passive,juste,FAUX,FAUX,FAUX ,JUSTE,FAUX
S90,2013-juin,Homme,1977,SXP,,Passive,juste,juste,juste,juste,JUSTE,FAUX
S91,2013-juin,Femme,1992,SXP,,Passive,juste,FAUX,juste,FAUX ,FAUX ,FAUX
S92,2013-juin,Femme,1968,SXP,,Passive,FAUX,juste,juste,FAUX ,JUSTE,FAUX
S93,2013-juin,Femme,1979,SXP,,Passive,juste,FAUX,juste,juste,FAUX ,FAUX
S94,2013-juin,Homme,1986,SXP,,Passive,juste,juste,juste,juste,JUSTE,FAUX
S95,2013-juin,Femme,1972,SXP,,Passive,juste,juste,juste,juste,JUSTE,FAUX
S96,2013-juin,Homme,1979,XPM3,Pro,Passive,juste,FAUX,juste,juste,JUSTE,JUSTE
S97,2013-juin,Homme,1989,XPM3,Pro,Passive,FAUX,FAUX,juste,FAUX ,JUSTE,JUSTE
S98,2013-juin,Homme,1987,XPM3,SPV,Passive,juste,juste,FAUX,FAUX ,FAUX ,FAUX
S99,2013-juin,Homme,1978,SXP,,Passive,FAUX,juste,juste,FAUX ,JUSTE,FAUX
